Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2010";"Zeeland";"9854,39899969105";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2011";"Zeeland";"10419,4697040304";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2012";"Zeeland";"9360,76418400458";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2013";"Zeeland";"8913,13335750841";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2014";"Zeeland";"7775,08415049395";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2015";"Zeeland";"8377,99144803869";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2016";"Zeeland";"8231,79960749056";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2017";"Zeeland";"8119,38745821712";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2018";"Zeeland";"8054,8484066117";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2019";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2020";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2021";"Zeeland";"7128,67932491333";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2022";"Zeeland";"5809,23454769916";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2023";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totaal bekende CO₂-uitstoot (aardgas, elektr., stadswarmte woningen, voertuigbrandstoffen)";"kton";"2024";"Zeeland";"6140,96378811439";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2010";"Zeeland";"13493,8851446117";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2011";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2012";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2013";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2014";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2015";"Zeeland";"10523,1936243372";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2016";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2017";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2018";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2019";"Zeeland";"?";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2020";"Zeeland";"9227,33874968902";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2021";"Zeeland";"?";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2022";"Zeeland";"?";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2023";"Zeeland";"7882,95627341781";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale CO₂-uitstoot volgens bronbenadering";"kton";"2024";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2010";"Zeeland";"2841,42054077658";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2011";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2012";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2013";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2014";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2015";"Zeeland";"3739,400466298";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2016";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2017";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2018";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2019";"Zeeland";"3351,74337268093";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2020";"Zeeland";"3315,12399789529";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2021";"Zeeland";"3246,38966220517";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2022";"Zeeland";"2196,24564995754";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2023";"Zeeland";"2127,44757612962";"Emissieregistratie - CO₂-uitstoot";"";
"1.1 Totaal emissies";"Totale emissies broeikasgassen";"Totale niet-energetische CO₂-emissies";"kton";"2024";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
