Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2010";"Zeeland";"6122,66337702294";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2011";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2012";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2013";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2014";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2015";"Zeeland";"4071,55645650908";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2016";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2017";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2018";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2019";"Zeeland";"1725,73047837955";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2020";"Zeeland";"1799,32713004805";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2021";"Zeeland";"1272,56256413051";"Emissieregistratie - CO₂-uitstoot";"";
"1.2 Emissies elektriciteit";"CO₂-emissies elektriciteit";"CO₂-emissies elektriciteitsproductie (bronbenadering)";"kton";"2022";"Zeeland";"1107,75948473317";"Emissieregistratie - CO₂-uitstoot";"";
