Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2010";"Zeeland";"671,935616705074";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2011";"Zeeland";"639,489920978089";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2012";"Zeeland";"656,808211604008";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2013";"Zeeland";"656,135409060617";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2014";"Zeeland";"614,001807646395";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2015";"Zeeland";"622,879119495412";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2016";"Zeeland";"614,254577639359";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2017";"Zeeland";"598,106626313543";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2018";"Zeeland";"603,985180815531";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2019";"Zeeland";"593,041345756908";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2020";"Zeeland";"557,542613198704";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2021";"Zeeland";"591,347928675013";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2022";"Zeeland";"500,882629244297";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2023";"Zeeland";"441,278849076616";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-emissies Gebouwde omgeving (aardgas, bronbenadering)";"kton";"2024";"Zeeland";"443,12744832139";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.3 Emissies gebouwde omgeving";"CO₂-emissies Gebouwde omgeving";"CO₂-uitstoot Gebouwde omgeving (aardgas, elektr. en stadswarmte woningen)";"kton";"2010";"Zeeland";"1263,89093794778";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
