Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2010";"Zeeland";"976,216929494007";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2011";"Zeeland";"1005,39266362399";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2012";"Zeeland";"989,752584875306";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2013";"Zeeland";"970,841787606675";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2014";"Zeeland";"979,545734832747";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2015";"Zeeland";"993,426501248105";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2016";"Zeeland";"1021,45230690961";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2017";"Zeeland";"1008,46455435146";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2018";"Zeeland";"997,473308106115";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2019";"Zeeland";"970,942300332515";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2020";"Zeeland";"937,19813967521";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2021";"Zeeland";"924,686835928867";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2022";"Zeeland";"964,461841423476";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2023";"Zeeland";"988,573469760155";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2024";"Zeeland";"956,515584504459";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2010";"Zeeland";"976,216929494007";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2011";"Zeeland";"1005,39266362399";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2012";"Zeeland";"989,752584875306";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2013";"Zeeland";"970,841787606675";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2014";"Zeeland";"979,545734832747";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2015";"Zeeland";"993,426501248105";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2016";"Zeeland";"1021,45230690961";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2017";"Zeeland";"1008,46455435146";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2018";"Zeeland";"997,473308106115";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2019";"Zeeland";"970,942300332515";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2020";"Zeeland";"937,19813967521";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2021";"Zeeland";"924,686835928867";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2022";"Zeeland";"964,461841423476";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2023";"Zeeland";"988,573469760155";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"CO₂-emissies Mobiliteit (bronbenadering, fossiele brandstoffen)";"kton";"2024";"Zeeland";"956,515584504459";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2010";"Zeeland";"1,34185386758927";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2011";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2012";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2013";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2014";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2015";"Zeeland";"1,03556098489185";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2016";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2017";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2018";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2019";"Zeeland";"1,2038647104066";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2020";"Zeeland";"1,14929807684772";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2021";"Zeeland";"1,06464474164092";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2022";"Zeeland";"1,1069385729077";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2023";"Zeeland";"1,11305545062327";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"CO₂-emissies mobiliteit";"Niet-energetische CO₂-emissies Mobiliteit";"kton";"2024";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.4 Emissies mobiliteit";"1.4.1 CO₂-uitstoot Mobiliteit (verbruiksbenadering excl. elektrisch vervoer)";"CO₂-uitstoot Verkeer en vervoer excl. elektriciteitsverbruik verkeer (fossiele brandstoffen)";"kton";"2024";"Zeeland";"956,515584504459";"Emissieregistratie - CO₂-uitstoot en energieverbruik verkeer en vervoer";"";
