Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2010";"Zeeland";"7283,45682502719";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2011";"Zeeland";"7904,04511080012";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2012";"Zeeland";"6781,27876936416";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2013";"Zeeland";"6381,18755563339";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2014";"Zeeland";"5257,47372327166";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2015";"Zeeland";"5760,5904938397";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2016";"Zeeland";"5632,8063331796";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2017";"Zeeland";"5737,23104843037";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2018";"Zeeland";"5555,09923905606";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2019";"Zeeland";"3526,10865962452";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2020";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2021";"Zeeland";"4953,10193550309";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2022";"Zeeland";"3806,89955367895";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2023";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-uitstoot Industrie, Energie, Afval en Water (aardgas en elektr.)";"kton";"2024";"Zeeland";"4257,03156155021";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2010";"Zeeland";"5450,64358713971";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2011";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2012";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2013";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2014";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2015";"Zeeland";"4615,29582550956";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2016";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2017";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
"1.5 Emissies industrie";"Emissies broeikasgassen industrie";"CO₂-emissies Industrie (bronbenadering)";"kton";"2018";"Zeeland";"x";"Emissieregistratie - CO₂-uitstoot";"";
