Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2010";"Zeeland";"330,833847039498";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2011";"Zeeland";"309,008379953441";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2012";"Zeeland";"319,752270331634";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2013";"Zeeland";"295,062268635331";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2014";"Zeeland";"284,877047169185";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2015";"Zeeland";"312,653846518166";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2016";"Zeeland";"334,676557287235";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2017";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2018";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2019";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2020";"Zeeland";"264,771020193768";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2021";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2022";"Zeeland";"?";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij, SBI A (aardgas, elektr.)";"kton";"2023";"Zeeland";"196,472615065271";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij (aardgas, bronbenadering)";"kton";"2010";"Zeeland";"272,42563425";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij (aardgas, bronbenadering)";"kton";"2011";"Zeeland";"249,1068954";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
"1.6 Emissies landbouw";"Emissies broeikasgassen Landbouw";"CO₂-uitstoot Landbouw, bosbouw en visserij (aardgas, bronbenadering)";"kton";"2012";"Zeeland";"250,457005275";"Berekening CO₂-uitstoot o.b.v. emissiefactoren";"";
