Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2010";"Zeeland";"146390,032915847";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2011";"Zeeland";"154217,409496712";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2012";"Zeeland";"146530,456359164";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2013";"Zeeland";"141922,159881436";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2014";"Zeeland";"119723,371227014";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2015";"Zeeland";"128141,814082047";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2016";"Zeeland";"126308,609470998";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2017";"Zeeland";"126426,465312046";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2018";"Zeeland";"126602,726874687";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2019";"Zeeland";"?";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2020";"Zeeland";"?";"Berekening (sub)totalen energieverbruik";"";
"2.1 Totaal energieverbruik";"Energieverbruik en hernieuwbare energie";"Totaal bekend energieverbruik (aardgas, elektriciteit, stadswarmte, verkeer/vervoer, overige warmte)";"TJ";"2021";"Zeeland";"117699,996847946";"Berekening (sub)totalen energieverbruik";"";
