Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2010";"Zeeland";"0,42";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2011";"Zeeland";"0,47";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2012";"Zeeland";"0,51";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2013";"Zeeland";"0,65";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2014";"Zeeland";"0,8";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2015";"Zeeland";"0,88";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2016";"Zeeland";"0,85";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2017";"Zeeland";"0,83";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2018";"Zeeland";"1,13";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2019";"Zeeland";"1,5";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2020";"Zeeland";"1,78";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2021";"Zeeland";"1,68";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2022";"Zeeland";"1,97";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2023";"Zeeland";"2,19";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.2.1 Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TWh";"2023";"Zeeland";"2,19";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
"2.2 Hernieuwbare elektriciteit";"2.1.3c Hernieuwbare elektriciteit";"Totaal bekende hernieuwbare elektriciteit";"TJ";"2023";"Zeeland";"7899,65296237845";"Verdeling regionale gegevens hernieuwbare energie o.b.v. verdeelsleutel per gemeente";"";
