Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2010";"Zeeland";"1874,1634722";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2011";"Zeeland";"1880,9738064";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2012";"Zeeland";"1837,1843641371";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2013";"Zeeland";"1872,65465107891";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2014";"Zeeland";"1812,82263516769";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2015";"Zeeland";"1797,91055176244";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2016";"Zeeland";"1786,09312458974";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2017";"Zeeland";"1767,51104337158";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2018";"Zeeland";"1739,84145375534";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2019";"Zeeland";"1760,03382528";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2020";"Zeeland";"1818,37633948771";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2021";"Zeeland";"1962,29871461841";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2022";"Zeeland";"1977,787215";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2023";"Zeeland";"1829,96711678405";"CBS - Statistiek energieverbruik woningen";"";
"2.3 Energieverbruik gebouwde omgeving";"Elektriciteitsverbruik subsectoren Gebouwde omgeving";"Totaal elektriciteitsverbruik woningen incl. zonnestroom achter de meter excl. laden auto's";"TJ";"2024";"Zeeland";"1905,15744817166";"CBS - Statistiek energieverbruik woningen";"";
