Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2010";"Zeeland";"13599,4780468558";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2011";"Zeeland";"13951,8166734051";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2012";"Zeeland";"13440,1187998631";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2013";"Zeeland";"13078,3894082833";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2014";"Zeeland";"12321,250803519";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2015";"Zeeland";"12485,8460586301";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2016";"Zeeland";"12566,5951312576";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2017";"Zeeland";"12605,5063729032";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2018";"Zeeland";"12428,5406911953";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2019";"Zeeland";"12112,7970193231";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2020";"Zeeland";"11299,8149788283";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2021";"Zeeland";"10849,6398285099";"Berekening energieverbruik brandstof";"";
"2.4 Energieverbruik mobiliteit";"Energieverbruik Mobiliteit";"Totaal bekend fossiel energieverbruik Verkeer en vervoer (excl. elektr. railverkeer)";"TJ";"2022";"Zeeland";"10914,0002181871";"Berekening energieverbruik brandstof";"";
