Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2010";"Zeeland";"95113,8837";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2011";"Zeeland";"99700,06365";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2012";"Zeeland";"103373,6475";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2013";"Zeeland";"102353,1882";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2014";"Zeeland";"81230,89605";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2015";"Zeeland";"88774,0973843741";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2016";"Zeeland";"86632,1268";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2017";"Zeeland";"89357,581154237";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2018";"Zeeland";"86406,5127605068";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2019";"Zeeland";"52800,3274180817";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2020";"Zeeland";"?";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2021";"Zeeland";"79569,9431667528";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2022";"Zeeland";"60303,3890269946";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2023";"Zeeland";"?";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2024";"Zeeland";"70506,4776886462";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2010";"Zeeland";"14863,752";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2011";"Zeeland";"18567,3636";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2012";"Zeeland";"7197,7968";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2013";"Zeeland";"4477,4244";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2014";"Zeeland";"4849,2972";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2015";"Zeeland";"5033,0052";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2016";"Zeeland";"5381,9784";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2017";"Zeeland";"5381,5212";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2018";"Zeeland";"5475,7044";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2019";"Zeeland";"5125,698";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2020";"Zeeland";"4730,256";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2021";"Zeeland";"5392,5768";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2022";"Zeeland";"5060,5452";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2023";"Zeeland";"4286,034";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"Energie geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2024";"Zeeland";"4943,3724";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"2.5.1a Aardgas geleverd aan sector Industrie";"Totaal bekend aardgasverbruik Industrie, Energie, Afval en Water (excl. Energievoorziening, SBI D)";"TJ";"2024";"Zeeland";"70506,4776886462";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
"2.5 Energieverbruik industrie";"2.5.1b Elektriciteit geleverd aan sector Industrie";"Totaal bekend elektriciteitsverbruik Industrie, Energie, Afval en Water";"TJ";"2024";"Zeeland";"4943,3724";"Optelling en bijschatting door RVO o.b.v. CBS-gegevens";"";
