Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2010";"Zeeland";"4813,17375";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2011";"Zeeland";"4408,9716";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2012";"Zeeland";"4432,86735";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2013";"Zeeland";"4136,7816";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2014";"Zeeland";"3641,8389";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2015";"Zeeland";"3894,43755";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2016";"Zeeland";"4156,4046";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2017";"Zeeland";"?";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2018";"Zeeland";"?";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2019";"Zeeland";"?";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2020";"Zeeland";"3524,1642";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2021";"Zeeland";"?";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2022";"Zeeland";"?";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2023";"Zeeland";"2988,5196";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Aardgas geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2024";"Zeeland";"?";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
"2.6 Energieverbruik landbouw";"Energie geleverd aan sector Landbouw (SBI A)";"Elektriciteit geleverd aan Landbouw, bosbouw en visserij (SBI A)";"TJ";"2010";"Zeeland";"456,9264";"CBS - Statistiek energieverbruik bedrijven en instellingen";"";
