Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2010";"Zeeland";"187,6";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2011";"Zeeland";"208,3";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2012";"Zeeland";"241,1";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2013";"Zeeland";"318,1";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2014";"Zeeland";"341,4";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2015";"Zeeland";"350,3";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2016";"Zeeland";"353,6";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2017";"Zeeland";"368,3";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2018";"Zeeland";"501,7";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2019";"Zeeland";"515,5";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2020";"Zeeland";"520,6";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2021";"Zeeland";"562,8";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2022";"Zeeland";"573,4";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2023";"Zeeland";"601,4";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2024";"Zeeland";"604,1";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land fysiek opgesteld vermogen";"MW";"2025";"Zeeland";"634,7";"Windstats";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2010";"Zeeland";"208";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2011";"Zeeland";"223";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2012";"Zeeland";"241";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2013";"Zeeland";"330";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2014";"Zeeland";"342";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2015";"Zeeland";"351";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2016";"Zeeland";"354";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2017";"Zeeland";"391";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2018";"Zeeland";"505";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2019";"Zeeland";"519";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2020";"Zeeland";"527";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2021";"Zeeland";"549";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2022";"Zeeland";"566";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2023";"Zeeland";"610";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2024";"Zeeland";"610";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Wind op land operationeel vermogen";"MW";"2025";"Zeeland";"x";"CBS - Statistiek windvermogen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2010";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2011";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2012";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2013";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2014";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2015";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2016";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2017";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2018";"Zeeland";"48,811";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2019";"Zeeland";"85,401";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2020";"Zeeland";"135,369";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2021";"Zeeland";"169,893";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2022";"Zeeland";"235,874";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2023";"Zeeland";"259,206";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2024";"Zeeland";"292,453";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (dakopstelling, grote systemen)";"MW";"2025";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2010";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2011";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2012";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2013";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2014";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2015";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2016";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2017";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2018";"Zeeland";"83,357";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2019";"Zeeland";"120,066";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2020";"Zeeland";"164,792";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2021";"Zeeland";"200,441";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2022";"Zeeland";"262,864";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2023";"Zeeland";"351,164";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2024";"Zeeland";"415,74";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Opgesteld vermogen wind en zon";"Vermogen zonnepanelen (veldopstelling, grote systemen)";"MW";"2025";"Zeeland";"x";"CBS - Statistiek zonnepanelen";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2010";"Zeeland";"1476";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2011";"Zeeland";"1627,2";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2012";"Zeeland";"1774,8";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2013";"Zeeland";"2260,8";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2014";"Zeeland";"2653,2";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2015";"Zeeland";"2869,2";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2016";"Zeeland";"2739,6";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
"3.2 Resultaten elektriciteit";"Hernieuwbare elektriciteit uit wind en zon";"Wind op land hern. elektriciteit genormaliseerd";"TJ";"2017";"Zeeland";"2599,2";"Verdeling provinciaal en regionaal totaal windenergie o.b.v. verdeelsleutel per gemeente";"";
