Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2010";"Zeeland";"1620";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2011";"Zeeland";"1570";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2012";"Zeeland";"1530";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2013";"Zeeland";"1500";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2014";"Zeeland";"1470";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2015";"Zeeland";"1420";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2016";"Zeeland";"1380";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2017";"Zeeland";"1350";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2018";"Zeeland";"1370";"CBS - Statistiek energieverbruik woningen";"";
"3.3 Resultaten gebouwde omgeving";"3.3.1 Gemiddeld aardgasverbruik (weergecorrigeerd)";"Gemiddeld aardgasverbruik alle woningen (weergecorrigeerd)";"m3";"2019";"Zeeland";"1350";"CBS - Statistiek energieverbruik woningen";"";
