Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2018";"Zeeland";"0,3";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2019";"Zeeland";"0,6";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2020";"Zeeland";"0,9";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2021";"Zeeland";"1,4";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2022";"Zeeland";"2,1";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2023";"Zeeland";"2,9";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2024";"Zeeland";"3,4";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2025";"Zeeland";"4";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eigenaar";"%";"2026";"Zeeland";"4";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"3.4 Resultaten mobiliteit";"Percentage elektrische personenauto's (BEV)";"Percentage elektrische personenauto's (BEV), geregistreerd bij eindgebruiker";"%";"2018";"Zeeland";"x";"CBS - Statistiek personenauto's bij eindgebruiker en RVO - doorvertaling naar gemeenten";"";
