NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	AANSLUITINGEN_AANTAL	LEVERINGSRICHTING_PERC	FYSIEKE_STATUS_PERC	SOORT_AANSLUITING_PERC	SOORT_AANSLUITING	SJV_GEMIDDELD	SJV_LAAG_TARIEF_PERC	SLIMME_METER_PERC
"8716902000001"	"Stedin Zeeland"	"Irenestraat"	"4388NG"	"4388NG"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	12	83,33	100,00	58,33	"1x35"	2739	83,33	83,33
"8716902000001"	"Stedin Zeeland"	"Eemstraat"	"4388RH"	"4388RH"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	18	16,67	100,00	72,22	"1x35"	2179	94,44	94,44
"8716902000001"	"Stedin Zeeland"	"Dommelstraat"	"4388RT"	"4388RT"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	21	28,57	100,00	85,71	"1x35"	2057	85,71	85,71
"8716902000001"	"Stedin Zeeland"	"Roerstraat"	"4388RV"	"4388RV"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	20	50,00	100,00	80,00	"1x35"	2006	95,00	95,00
"8716902000001"	"Stedin Zeeland"	"Hontestraat"	"4388RX"	"4388RX"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	12	25,00	100,00	91,67	"1x35"	2013	100,00	100,00
"8716902000001"	"Stedin Zeeland"	"Roerstraat"	"4388SE"	"4388SE"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	25	52,00	96,00	84,00	"1x35"	2409	92,00	92,00
"8716902000001"	"Stedin Zeeland"	"Hunzestraat"	"4388SM"	"4388SM"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	12	83,33	100,00	100,00	"3x25"	1924	100,00	100,00
"8716902000001"	"Stedin Zeeland"	"Spaarnestraat"	"4388TM"	"4388TM"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	22	63,64	100,00	81,82	"3x25"	2496	81,82	81,82
"8716902000001"	"Stedin Zeeland"	"Westerscheldestraat"	"4388VD"	"4388VD"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	15	66,67	100,00	86,67	"1x35"	2781	86,67	86,67
"8716902000001"	"Stedin Zeeland"	"Westerscheldestraat"	"4388VE"	"4388VE"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	18	77,78	100,00	55,56	"3x25"	3357	94,44	94,44
"8716902000001"	"Stedin Zeeland"	"Westerscheldestraat"	"4388VG"	"4388VG"	"OOST-SOUBURG"	"NL"	"ELK"	"KVB"	22	68,18	100,00	77,27	"1x35"	2544	100,00	100,00
"8716902000001"	"Stedin Zeeland"	"Zandweg"	"4389TG"	"4389TG"	"RITTHEM"	"NL"	"ELK"	"KVB"	21	47,62	95,24	76,19	"3x25"	4359	85,71	85,71
"8716902000001"	"Stedin Zeeland"	"Zandweg"	"4389TK"	"4389TK"	"RITTHEM"	"NL"	"ELK"	"KVB"	15	80,00	100,00	60,00	"3x25"	2624	86,67	86,67
"8716902000001"	"Stedin Zeeland"	"Nieuwlandseweg"	"4389VA"	"4389VG"	"RITTHEM"	"NL"	"ELK"	"KVB"	23	52,17	95,65	73,91	"3x25"	4347	69,57	69,57
