NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	AANSLUITINGEN_AANTAL	LEVERINGSRICHTING_PERC	FYSIEKE_STATUS_PERC	SOORT_AANSLUITING_PERC	SOORT_AANSLUITING	SJA_GEMIDDELD	SJA_LAAG_TARIEF_PERC	SLIMME_METER_PERC
"8717127750009"	"STEDIN ZEELAND"	"Poststraat"	"4301AA"	"4301AA"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	50,00	"G4"	2579,14	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Poststraat"	"4301AB"	"4301AD"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	34	94,12	94,12	67,65	"3x25"	5621,09	88,24	88,24
"8717127750009"	"STEDIN ZEELAND"	"Poststraat"	"4301AB"	"4301AD"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	32	100,00	100,00	71,88	"G4"	1612,53	0,00	81,25
"8716902000001"	"STEDIN ZEELAND"	"Korte St. Janstraat"	"4301AE"	"4301AE"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	20	95,00	100,00	90,00	"3x25"	2458,95	90,00	90,00
"8717127750009"	"STEDIN ZEELAND"	"Korte St. Janstraat"	"4301AE"	"4301AE"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	20	100,00	95,00	95,00	"G4"	1207,40	0,00	80,00
"8716902000001"	"STEDIN ZEELAND"	"Fonteine"	"4301AG"	"4301AH"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	33	93,94	96,97	60,61	"1x35"	2061,30	93,94	93,94
"8717127750009"	"STEDIN ZEELAND"	"Fonteine"	"4301AG"	"4301AH"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	31	100,00	100,00	100,00	"G4"	910,03	0,00	96,77
"8716902000001"	"STEDIN ZEELAND"	"Lange St. Janstraat"	"4301AJ"	"4301AJ"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	16	100,00	100,00	62,50	"1x35"	1497,81	93,75	93,75
"8717127750009"	"STEDIN ZEELAND"	"Lange St. Janstraat"	"4301AJ"	"4301AJ"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	16	100,00	100,00	100,00	"G4"	873,19	0,00	93,75
"8716902000001"	"STEDIN ZEELAND"	"Lange St. Janstraat"	"4301AK"	"4301AL"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	23	78,26	100,00	60,87	"3x25"	2660,70	82,61	82,61
"8717127750009"	"STEDIN ZEELAND"	"Lange St. Janstraat"	"4301AK"	"4301AL"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	21	100,00	95,24	100,00	"G4"	1136,48	0,00	80,95
"8716902000001"	"STEDIN ZEELAND"	"Krepelstraat"	"4301AM"	"4301AM"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	12	83,33	100,00	83,33	"3x25"	2981,75	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Krepelstraat"	"4301AM"	"4301AM"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	100,00	"G4"	1189,33	0,00	83,33
"8716902000001"	"STEDIN ZEELAND"	"Zevenhuisstraat"	"4301AN"	"4301AR"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	26	92,31	100,00	61,54	"3x25"	3695,96	92,31	92,31
"8717127750009"	"STEDIN ZEELAND"	"Zevenhuisstraat"	"4301AN"	"4301AR"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	25	100,00	100,00	88,00	"G4"	1438,32	0,00	84,00
"8716902000001"	"STEDIN ZEELAND"	"Hoofdpoortstraat"	"4301AS"	"4301AS"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	17	88,24	82,35	41,18	"3x25"	5544,88	88,24	76,47
"8717127750009"	"STEDIN ZEELAND"	"Hoofdpoortstraat"	"4301AS"	"4301AS"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	83,33	"G4"	1467,17	0,00	83,33
"8716902000001"	"STEDIN ZEELAND"	"Hoofdpoortstraat"	"4301AT"	"4301AT"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	15	93,33	100,00	46,67	"3x25"	5160,00	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Hoofdpoortstraat"	"4301AT"	"4301AT"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	85,71	92,86	"G4"	1554,36	0,00	85,71
"8716902000001"	"STEDIN ZEELAND"	"Hoofdpoortstraat"	"4301AV"	"4301AV"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	19	100,00	100,00	52,63	"3x25"	2415,79	89,47	89,47
"8717127750009"	"STEDIN ZEELAND"	"Hoofdpoortstraat"	"4301AV"	"4301AV"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	17	100,00	100,00	100,00	"G4"	880,53	0,00	88,24
"8716902000001"	"STEDIN ZEELAND"	"Breedstraat"	"4301AW"	"4301AW"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	15	100,00	100,00	60,00	"1x35"	1876,07	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Breedstraat"	"4301AW"	"4301AW"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	100,00	100,00	"G4"	951,21	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Breedstraat"	"4301AX"	"4301AX"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	72,73	100,00	90,91	"3x25"	2628,09	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Breedstraat"	"4301AX"	"4301AX"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	90,91	"G4"	1009,27	0,00	90,91
"8716902000001"	"STEDIN ZEELAND"	"Schuttershofstraat"	"4301AZ"	"4301AZ"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	18	88,89	100,00	55,56	"1x35"	1305,11	88,89	94,44
"8717127750009"	"STEDIN ZEELAND"	"Schuttershofstraat"	"4301AZ"	"4301AZ"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	100,00	100,00	"G4"	752,67	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Schuttershofstraat"	"4301BA"	"4301BA"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	14	100,00	100,00	64,29	"1x35"	3717,50	71,43	71,43
"8717127750009"	"STEDIN ZEELAND"	"Schuttershofstraat"	"4301BA"	"4301BA"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	14	100,00	92,86	100,00	"G4"	1002,29	0,00	64,29
"8716902000001"	"STEDIN ZEELAND"	"Ravestraat"	"4301BB"	"4301BB"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	90,91	100,00	81,82	"1x35"	2112,27	90,91	90,91
"8717127750009"	"STEDIN ZEELAND"	"Ravestraat"	"4301BB"	"4301BB"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	100,00	"G4"	1155,55	0,00	81,82
"8716902000001"	"STEDIN ZEELAND"	"Ravestraat"	"4301BC"	"4301BC"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	20	90,00	100,00	50,00	"3x25"	2832,00	90,00	90,00
"8717127750009"	"STEDIN ZEELAND"	"Ravestraat"	"4301BC"	"4301BC"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	94,44	100,00	"G4"	858,28	0,00	77,78
"8716902000001"	"STEDIN ZEELAND"	"Gat van W N Westen"	"4301BD"	"4301BD"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	22	77,27	95,45	59,09	"3x25"	1925,86	95,45	95,45
"8717127750009"	"STEDIN ZEELAND"	"Gat van W N Westen"	"4301BD"	"4301BD"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	20	100,00	95,00	95,00	"G4"	820,45	0,00	95,00
"8716902000001"	"STEDIN ZEELAND"	"Rozemarijnstraat"	"4301BE"	"4301BG"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	21	95,24	100,00	52,38	"1x35"	1811,19	85,71	85,71
"8717127750009"	"STEDIN ZEELAND"	"Rozemarijnstraat"	"4301BE"	"4301BG"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	19	100,00	94,74	94,74	"G4"	1118,11	0,00	89,47
"8716902000001"	"STEDIN ZEELAND"	"Bagijnestraat"	"4301BH"	"4301BH"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	19	78,95	100,00	52,63	"3x25"	1693,47	94,74	100,00
"8717127750009"	"STEDIN ZEELAND"	"Bagijnestraat"	"4301BH"	"4301BH"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	100,00	100,00	"G4"	982,50	0,00	94,44
"8716902000001"	"STEDIN ZEELAND"	"Witte IJestraat"	"4301BJ"	"4301BK"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	62	91,94	100,00	74,19	"1x35"	1748,24	98,39	98,39
"8717127750009"	"STEDIN ZEELAND"	"Witte IJestraat"	"4301BJ"	"4301BK"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	61	100,00	98,36	96,72	"G4"	874,33	0,00	93,44
"8716902000001"	"STEDIN ZEELAND"	"Pieterseliestraat"	"4301BL"	"4301BL"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	21	76,19	95,24	71,43	"1x35"	2046,43	95,24	90,48
"8717127750009"	"STEDIN ZEELAND"	"Pieterseliestraat"	"4301BL"	"4301BL"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	20	100,00	100,00	100,00	"G4"	788,25	0,00	95,00
"8716902000001"	"STEDIN ZEELAND"	"Wevershoek"	"4301BM"	"4301BM"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	18	88,89	100,00	72,22	"1x35"	2233,44	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Wevershoek"	"4301BM"	"4301BM"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	94,44	100,00	"G4"	930,56	0,00	94,44
"8716902000001"	"STEDIN ZEELAND"	"Wevershoek"	"4301BN"	"4301BN"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	81,82	100,00	54,55	"1x35"	2158,45	81,82	81,82
"8717127750009"	"STEDIN ZEELAND"	"Wevershoek"	"4301BN"	"4301BN"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	100,00	100,00	"G4"	980,91	0,00	81,82
"8716902000001"	"STEDIN ZEELAND"	"Raamstraat"	"4301BP"	"4301BP"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	12	33,33	83,33	83,33	"3x25"	4122,33	83,33	83,33
"8717127750009"	"STEDIN ZEELAND"	"Raamstraat"	"4301BP"	"4301BP"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	11	100,00	90,91	81,82	"G4"	1532,27	0,00	90,91
"8716902000001"	"STEDIN ZEELAND"	"Regenboogstraat"	"4301BR"	"4301BS"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	22	68,18	100,00	59,09	"3x25"	3324,32	86,36	86,36
"8717127750009"	"STEDIN ZEELAND"	"Regenboogstraat"	"4301BR"	"4301BS"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	22	100,00	95,45	95,45	"G4"	1311,59	0,00	81,82
"8716902000001"	"STEDIN ZEELAND"	"Regenboogstraat"	"4301BT"	"4301BT"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	16	81,25	100,00	62,50	"1x35"	3022,63	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Regenboogstraat"	"4301BT"	"4301BT"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	16	100,00	100,00	93,75	"G4"	919,25	0,00	93,75
"8716902000001"	"STEDIN ZEELAND"	"Regenboogstraat"	"4301BV"	"4301BV"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	33	87,88	66,67	81,82	"1x35"	1066,61	57,58	57,58
"8717127750009"	"STEDIN ZEELAND"	"Regenboogstraat"	"4301BV"	"4301BV"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	31	100,00	67,74	96,77	"G4"	853,65	0,00	58,06
"8716902000001"	"STEDIN ZEELAND"	"Weststraat"	"4301BW"	"4301BW"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	18	72,22	100,00	66,67	"3x25"	3182,50	88,89	88,89
"8717127750009"	"STEDIN ZEELAND"	"Weststraat"	"4301BW"	"4301BW"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	18	100,00	94,44	83,33	"G4"	1173,33	0,00	83,33
"8716902000001"	"STEDIN ZEELAND"	"Weststraat"	"4301BX"	"4301BX"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	21	61,90	100,00	66,67	"3x25"	2409,71	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Weststraat"	"4301BX"	"4301BX"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	20	100,00	100,00	100,00	"G4"	1115,20	0,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Kerkhof"	"4301BZ"	"4301CA"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	24	95,83	87,50	33,33	"3x25"	21054,71	79,17	79,17
"8717127750009"	"STEDIN ZEELAND"	"Kerkhof"	"4301BZ"	"4301CA"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	22	100,00	95,45	45,45	"G4"	2872,23	0,00	81,82
"8716902000001"	"STEDIN ZEELAND"	"Havenplein"	"4301CB"	"4301CB"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	16	81,25	81,25	62,50	"3x25"	13375,69	62,50	62,50
"8717127750009"	"STEDIN ZEELAND"	"Havenplein"	"4301CB"	"4301CB"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	41,67	"G4"	3338,67	0,00	75,00
"8716902000001"	"STEDIN ZEELAND"	"Visstraat"	"4301CC"	"4301CC"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	17	100,00	100,00	82,35	"3x25"	6217,35	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Visstraat"	"4301CC"	"4301CC"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	17	100,00	100,00	82,35	"G4"	1834,82	0,00	88,24
"8716902000001"	"STEDIN ZEELAND"	"Havenpark"	"4301CD"	"4301CD"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	17	100,00	88,24	64,71	"3x25"	9073,18	88,24	82,35
"8717127750009"	"STEDIN ZEELAND"	"Havenpark"	"4301CD"	"4301CD"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	16	100,00	87,50	50,00	"G4"	2447,50	0,00	75,00
"8716902000001"	"STEDIN ZEELAND"	"Havenpark"	"4301CE"	"4301CJ"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	46	89,13	97,83	69,57	"3x25"	4677,63	84,78	86,96
"8717127750009"	"STEDIN ZEELAND"	"Havenpark"	"4301CE"	"4301CJ"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	44	100,00	97,73	84,09	"G4"	1738,20	0,00	81,82
"8716902000001"	"STEDIN ZEELAND"	"Oude Haven"	"4301CK"	"4301CK"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	12	75,00	100,00	75,00	"3x25"	4202,25	91,67	91,67
"8717127750009"	"STEDIN ZEELAND"	"Oude Haven"	"4301CK"	"4301CK"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	12	100,00	100,00	66,67	"G4"	2198,50	0,00	91,67
"8716902000001"	"STEDIN ZEELAND"	"Oude Haven"	"4301CL"	"4301CL"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	13	84,62	100,00	84,62	"3x25"	2782,15	84,62	84,62
"8717127750009"	"STEDIN ZEELAND"	"Oude Haven"	"4301CL"	"4301CL"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	13	100,00	100,00	76,92	"G4"	1632,77	0,00	84,62
"8716902000001"	"STEDIN ZEELAND"	"Sint Domusstraat"	"4301CM"	"4301CM"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	20	90,00	90,00	80,00	"3x25"	4867,15	95,00	90,00
"8717127750009"	"STEDIN ZEELAND"	"Sint Domusstraat"	"4301CM"	"4301CM"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	17	100,00	94,12	88,24	"G4"	1524,35	0,00	88,24
"8716902000001"	"STEDIN ZEELAND"	"Sint Domusstraat"	"4301CN"	"4301CN"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	11	90,91	100,00	63,64	"1x35"	1483,27	100,00	100,00
"8717127750009"	"STEDIN ZEELAND"	"Sint Domusstraat"	"4301CN"	"4301CP"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	29	100,00	96,55	93,10	"G4"	1103,34	0,00	93,10
"8716902000001"	"STEDIN ZEELAND"	"Sint Domusstraat"	"4301CP"	"4301CP"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	20	75,00	100,00	65,00	"3x25"	2819,45	100,00	100,00
"8716902000001"	"STEDIN ZEELAND"	"Sint Domusstraat"	"4301CR"	"4301CR"	"ZIERIKZEE"	"NL"	"ELK"	"KVB"	15	100,00	100,00	60,00	"3x25"	1827,00	86,67	86,67
"8717127750009"	"STEDIN ZEELAND"	"Sint Domusstraat"	"4301CR"	"4301CR"	"ZIERIKZEE"	"NL"	"GAS"	"KVB"	15	100,00	93,33	93,33	"G4"	1218,53	0,00	86,67
